time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
3.200000000000000178e+00,3.384268202728552555e-01,7.107925967589535654e-01,2.947385346544885709e-01,4.623939486914008801e-01,3.351320723987601724e+00,9.302664856496564161e-01,3.694413797474462768e+01,6.094852377796466936e-01
3.300000000000000266e+00,3.439706244429327486e-01,7.248182198342744131e-01,3.057856409544351117e-01,4.996566820300074041e-01,3.540757512774748150e+00,9.310393844393876073e-01,3.632500678647139836e+01,6.184036548861311378e-01
3.400000000000000355e+00,3.496407064451474422e-01,7.375048452324289849e-01,3.164213195707019644e-01,5.372627019710223273e-01,3.734205329573832888e+00,9.316862547468569566e-01,3.570253981946135724e+01,6.274259292122552623e-01
3.500000000000000000e+00,3.554152511692185712e-01,7.489511916129367730e-01,3.266076783252634952e-01,5.749690180023777630e-01,3.931589543941606646e+00,9.322020539855317978e-01,3.507857719014533160e+01,6.365221894630390675e-01
3.600000000000000089e+00,3.612742380189101765e-01,7.592506152470518410e-01,3.363088081414086772e-01,6.125215025893809839e-01,4.132755455527033384e+00,9.325833868485732259e-01,3.445476457307846374e+01,6.456647271995433757e-01
3.700000000000000178e+00,3.671993343596370862e-01,7.684900298982377809e-01,3.454908584358353241e-01,6.496557096541220044e-01,4.337430246157769176e+00,9.328283673729694803e-01,3.383256618252991643e+01,6.548279792089095608e-01
3.800000000000000266e+00,3.731737744715448168e-01,7.767493183950190394e-01,3.541221027773819863e-01,6.860974617541132359e-01,4.545149125056370920e+00,9.329364805175571762e-01,3.321327885549396086e+01,6.639884719494100196e-01
3.900000000000000355e+00,3.791822315442042735e-01,7.841010956090703754e-01,3.621729955553799618e-01,7.215634530246205491e-01,4.755201476375093605e+00,9.329084469479472785e-01,3.259804648008159944e+01,6.731247387159942086e-01
4.000000000000000000e+00,3.852106880482613072e-01,7.906107133886799421e-01,3.696162204283531261e-01,7.557616449832260663e-01,4.966475502087383198e+00,9.327460934331971432e-01,3.198787424257092837e+01,6.822172181258590040e-01
4.100000000000000533e+00,3.912463081104493590e-01,7.963364239452256355e-01,3.764267313352528954e-01,7.883921127856073907e-01,5.177509350202384120e+00,9.324522303001800960e-01,3.138364234303125144e+01,6.912481407612955930e-01
4.200000000000000178e+00,3.972773142211998287e-01,8.013296392341969776e-01,3.825817868473943006e-01,8.191490398673656470e-01,5.386440318875457045e+00,9.320305366969527938e-01,3.078611896203963028e+01,7.002014093212276524e-01
4.299999999999999822e+00,4.032928696395163271e-01,8.056352404633784214e-01,3.880609786206458134e-01,8.477231931950218735e-01,5.590883863349703553e+00,9.314854539277902523e-01,3.019597235813934333e+01,7.090624764005104552e-01
4.400000000000000355e+00,4.092829671565889060e-01,8.092919046424120744e-01,3.928462546753992979e-01,8.738056866299537262e-01,5.788101025280207423e+00,9.308220867906248364e-01,2.961378204504629963e+01,7.178182230074831027e-01
4.500000000000000000e+00,4.152383243771926025e-01,8.123324247387886388e-01,3.969219381875660480e-01,8.970932800623645509e-01,5.974898241177128533e+00,9.300461126322719929e-01,2.904004904573100276e+01,7.264568401140751863e-01
4.600000000000000533e+00,4.211502853266435031e-01,8.147840071580880750e-01,4.002747424186497427e-01,9.172946093378615551e-01,6.147870291375264529e+00,9.291636977064070546e-01,2.847520525272395631e+01,7.349677148790267900e-01
4.700000000000000178e+00,4.270107279515413801e-01,8.166685354717510004e-01,4.028937823481713032e-01,9.341380358864543876e-01,6.303466672675363647e+00,9.281814203492533277e-01,2.791962194453613222e+01,7.433413226662356488e-01
4.800000000000000711e+00,4.328119769240403869e-01,8.180027930337139264e-01,4.047705834986865536e-01,9.473801145565998727e-01,6.438199004266381031e+00,9.271062004599164297e-01,2.737361752022329142e+01,7.515691255730460041e-01
4.900000000000000355e+00,4.385467210586268538e-01,8.187986397319755305e-01,4.058990883637358937e-01,9.568139339811989608e-01,6.548800730188587771e+00,9.259452347724833610e-01,2.683746452033340191e+01,7.596434778669092225e-01
5.000000000000000000e+00,4.442079345898869436e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.622772270269898121e-01,6.632463057433843012e+00,9.247059374253884245e-01,2.631139600460920391e+01,7.675575384859232297e-01
5.100000000000000533e+00,4.497888015268377004e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.657503369552312700e-01,6.702636461712303984e+00,9.233958853629262720e-01,2.579561135622614998e+01,7.752875709979359931e-01
5.200000000000000178e+00,4.552865801797638667e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.692963221079411440e-01,6.774312431958830594e+00,9.220215585510039835e-01,2.529009514619048105e+01,7.828134785158236131e-01
5.300000000000000711e+00,4.607025075720562746e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.729142909908389258e-01,6.847296361334796799e+00,9.205880940147214142e-01,2.479463851229107618e+01,7.901363925525174414e-01
5.400000000000000355e+00,4.660378023102268452e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.766020840257582103e-01,6.921542374731608049e+00,9.191003758478062391e-01,2.430903685180552998e+01,7.972578464526574038e-01
5.500000000000000000e+00,4.712936648580999810e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.803573970801350290e-01,6.997040137229188161e+00,9.175630446411457974e-01,2.383308974570683958e+01,8.041797344955123883e-01
5.600000000000000533e+00,4.764712778069224441e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.841778423688956057e-01,7.073776541104393800e+00,9.159805067586003213e-01,2.336660088299202087e+01,8.109042735449253358e-01
5.700000000000000178e+00,4.815718061414508422e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.880609463120725300e-01,7.151735484115353536e+00,9.143569434404158480e-01,2.290937798526203650e+01,8.174339671757169246e-01
5.800000000000000711e+00,4.865963975020784482e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.920041475641919737e-01,7.230897674530672781e+00,9.126963197177500042e-01,2.246123273166775647e+01,8.237715721967311389e-01
5.900000000000000355e+00,4.915461824430592541e-01,8.190631399125902767e-01,4.062756607635740758e-01,9.960047954702697659e-01,7.311240464256401062e+00,9.110023931246870044e-01,2.202198068432412015e+01,8.299200674835786051e-01
6.000000000000000000e+00,4.964222746868868219e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.000060149149212485e+00,7.392737711383849941e+00,9.092787221966953659e-01,2.159144121428257890e+01,8.358826250288318160e-01
6.100000000000000533e+00,5.012257713748872190e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.004167377358852864e+00,7.475359673405773009e+00,9.075286747467778969e-01,2.116943742814181917e+01,8.416625831137436453e-01
6.200000000000000178e+00,5.059577533140801053e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.008323559256427249e+00,7.559072932218962038e+00,9.057554359126074317e-01,2.075579609536695358e+01,8.472634215032370797e-01
6.300000000000000711e+00,5.106192852203651489e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.012525686132943026e+00,7.643840351845542891e+00,9.039620159697746571e-01,2.035034757637903269e+01,8.526887385647845541e-01
6.400000000000000355e+00,5.152114159580871711e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.016770664168680671e+00,7.729621069564684532e+00,9.021512579078712069e-01,1.995292575146879344e+01,8.579422302116551657e-01
6.500000000000000000e+00,5.197351787760353670e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.021055318229420639e+00,7.816370520855846493e+00,9.003258447675680509e-01,1.956336795058169287e+01,8.630276705717180308e-01
6.600000000000000533e+00,5.241915915399285586e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.025376396698324477e+00,7.904040498221348798e+00,8.984883067380918797e-01,1.918151488401493054e+01,8.679488942844012511e-01
6.700000000000000178e+00,5.285816569614392169e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.029730577316454010e+00,7.992579243588813220e+00,8.966410280156060786e-01,1.880721057406127272e+01,8.727097803303837109e-01
6.800000000000000711e+00,5.329063628238077666e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.034114473985402460e+00,8.081931573603480246e+00,8.947862534239452437e-01,1.844030228762953172e+01,8.773142373010619499e-01
6.900000000000000355e+00,5.371666822040985778e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.038524644468384883e+00,8.172039036717443139e+00,8.929260947999910769e-01,1.808064046986656948e+01,8.817661900176484435e-01
7.000000000000000000e+00,5.413635736921453834e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.042957598911241623e+00,8.262840100579152747e+00,8.910625371466809330e-01,1.772807867880177213e+01,8.860695674128763466e-01
7.100000000000000533e+00,5.454979816062385245e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.047409809092195943e+00,8.354270367833528610e+00,8.891974445572492503e-01,1.738247352103058674e+01,8.902282915916118755e-01
7.200000000000000178e+00,5.495708362056013208e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.051877718298847242e+00,8.446262818071623713e+00,8.873325659148171285e-01,1.704368458845083367e+01,8.942462679901562739e-01
7.300000000000000711e+00,5.535830538997006389e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.056357751722764249e+00,8.538748073329314181e+00,8.854695403718753077e-01,1.671157439606166051e+01,8.981273765575922274e-01
7.400000000000000355e+00,5.575355374544447296e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.060846327256189880e+00,8.631654684235870789e+00,8.836099026145582958e-01,1.638600832083269765e+01,9.018754638861693484e-01
7.500000000000000000e+00,5.614291761953078552e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.065339866571734184e+00,8.724909433663123437e+00,8.817550879169016032e-01,1.606685454164796667e+01,9.054943362213566660e-01
7.600000000000000533e+00,5.652648462074331137e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.069834806364469815e+00,8.818437654530256964e+00,8.799064369904957550e-01,1.575398398032702829e+01,9.089877532858289255e-01
7.700000000000000178e+00,5.690434105327550895e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.074327609636466008e+00,8.912163558282351516e+00,8.780652006351312711e-01,1.544727024372346591e+01,9.123594228552170948e-01
7.800000000000000711e+00,5.727657193641880751e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.078814776906386941e+00,9.006010570484669131e+00,8.762325441961559269e-01,1.514658956689907754e+01,9.156129960269807633e-01
7.900000000000000355e+00,5.764326102369226046e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.083292857231193729e+00,9.099901669960402728e+00,8.744095518343522055e-01,1.485182075737029272e+01,9.187520631271699489e-01
8.000000000000000000e+00,5.800449082168748216e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.087758458933046013e+00,9.193759727945252536e+00,8.725972306141955848e-01,1.456284514042182998e+01,9.217801502031858218e-01
8.099999999999999645e+00,5.836034260863296463e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.092208259931981118e+00,9.287507843835628663e+00,8.707965144163694049e-01,1.427954650548114479e+01,9.247007160538418535e-01
8.200000000000001066e+00,5.871089645268207091e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.096639017593664889e+00,9.381069674263436298e+00,8.690082676804078421e-01,1.400181105354600852e+01,9.275171497511428553e-01
8.300000000000000711e+00,5.905623122992859075e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.101047578011206785e+00,9.474369752434448344e+00,8.672332889832987668e-01,1.372952734565634891e+01,9.302327686111496741e-01
8.400000000000000355e+00,5.939642464215428852e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.105430884650451251e+00,9.567333794912192602e+00,8.654723144598323037e-01,1.346258625240056972e+01,9.328508165741442593e-01
8.500000000000000000e+00,5.973155323431212915e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.109785986299106630e+00,9.659888993308193506e+00,8.637260210703981977e-01,1.320088090444558837e+01,9.353744629570155400e-01
8.599999999999999645e+00,6.006169241174920126e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.114110044271269917e+00,9.751964288644799694e+00,8.619950297218550439e-01,1.294430664407903642e+01,9.378068015433584925e-01
8.700000000000001066e+00,6.038691645717317869e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.118400338830147778e+00,9.843490626480674521e+00,8.602799082469932967e-01,1.269276097775139434e+01,9.401508499792236018e-01
8.800000000000000711e+00,6.070729854736635067e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.122654274802860952e+00,9.934401191224134564e+00,8.585811742479951825e-01,1.244614352960516968e+01,9.424095494447657373e-01
8.900000000000000355e+00,6.102291076965064009e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.126869386371948334e+00,1.002463161839819605e+01,8.568992978091842794e-01,1.220435599597775145e+01,9.445857645742260500e-01
