time,F_11,F_12,F_21,F_22,a0_x,a0_y,fiber_angle_deg,beta,beta_equilibrium,stimulus,strain_energy,sigma_11,sigma_12,sigma_21,sigma_22
2.650000000000000355e+00,1.061792828327752014e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.418033097614048055e-01,5.360498031133750230e-01,8.441863589173376203e-01,5.758486548210983358e+01,1.206578062922407379e-01,3.379948753469824152e-01,1.199176537711692386e-01,7.198742282891856803e-02,1.274040102882471048e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.130065257224633246e+00
2.700000000000000178e+00,1.063922344812880727e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.399182232382541358e-01,5.388467435807153816e-01,8.424038146473807886e-01,5.739483385505953805e+01,1.222817369579868862e-01,3.496799475719202244e-01,1.239248081151121117e-01,7.688511083747462393e-02,1.319307557921382434e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.165537336246434741e+00
2.750000000000000000e+00,1.066075407896750260e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.380199492387599758e-01,5.417647487481376256e-01,8.405301642498425041e-01,5.719614606903258647e+01,1.239808439219202141e-01,3.614285942706498833e-01,1.279681247138197975e-01,8.199100246054191743e-02,1.365167753222224389e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.201185748301141665e+00
2.800000000000000266e+00,1.068251187532556656e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.361094203974600347e-01,5.448022899610432956e-01,8.385645263503598290e-01,5.698884614399777604e+01,1.257550404958448220e-01,3.732164646220909043e-01,1.320458144060569772e-01,8.730723310793164771e-02,1.411605996647175232e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.236991530431314379e+00
2.850000000000000089e+00,1.070448844915832254e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.341875651037098161e-01,5.479574509854391318e-01,8.365062055415608544e-01,5.677300188960943927e+01,1.276040586912940700e-01,3.850198951048084961e-01,1.361560834918207341e-01,9.283568188018787026e-02,1.458607295816394700e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.272935932056019404e+00
2.900000000000000355e+00,1.072667532807821456e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.322553069005393711e-01,5.512279456295051672e-01,8.343546919368736159e-01,5.654870398306519519e+01,1.295274557096615098e-01,3.968160534730096334e-01,1.402971347341917252e-01,9.857796592118717172e-02,1.506156359400187439e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.309000427557811319e+00
2.950000000000000178e+00,1.074906395862107455e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.303135639061573814e-01,5.546111378398164149e-01,8.321096597108005311e-01,5.631606490089073702e+01,1.315246214596186292e-01,4.085830637587636316e-01,1.444671683437089293e-01,1.045354352652072549e-01,1.554237598652656427e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.345166728122240363e+00
3.000000000000000000e+00,1.077164570954363798e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.283632482583452639e-01,5.581040639058304498e-01,8.297709646955578888e-01,5.607521772558528994e+01,1.335947869523727571e-01,4.203001118986893214e-01,1.486643829446302745e-01,1.107091681804228678e-01,1.602835129192986319e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.381416792832139917e+00
3.050000000000000266e+00,1.079441187515106204e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.264052655819245974e-01,5.617034563971680106e-01,8.273386411086300907e-01,5.582631484853509818e+01,1.357370334234327403e-01,4.319475320109603667e-01,1.528869765224945554e-01,1.170999670096950496e-01,1.651932773040226454e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.417732839020837909e+00
3.100000000000000089e+00,1.081735367865313435e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.244405144794246576e-01,5.654057694576404280e-01,8.248128974888871978e-01,5.556952659059285082e+01,1.379503020308744388e-01,4.435068737299251440e-01,1.571331473524446021e-01,1.237083545084427527e-01,1.701514060907049375e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.454097351890166978e+00
3.150000000000000355e+00,1.084046227554788411e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.224698860450204485e-01,5.692072050871086475e-01,8.221941119206109816e-01,5.530503976127697996e+01,1.402334039842617619e-01,4.549609513345493905e-01,1.614010949078266699e-01,1.305345706784066806e-01,1.751562234757681358e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.490493093400869551e+00
3.200000000000000178e+00,1.086372875703131680e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.204942634017545533e-01,5.731037400561359574e-01,8.194828266252252025e-01,5.503305617672284455e+01,1.425850309649701053e-01,4.662938756796416451e-01,1.656890207486356736e-01,1.375785700951537294e-01,1.802060250634919480e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.526903110444613576e+00
3.250000000000000000e+00,1.088714415343192243e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.185145212620087207e-01,5.770911531179583331e-01,8.166797419998766960e-01,5.475379115537967323e+01,1.450037657072381636e-01,4.774910701543829683e-01,1.699951293894144677e-01,1.448400197262289524e-01,1.852990781760689654e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.563310742308228640e+00
3.300000000000000266e+00,1.091069943766865613e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.165315255111408099e-01,5.811650522064335522e-01,8.137857101804463200e-01,5.446747200905763009e+01,1.474880926193996578e-01,4.885392720523467069e-01,1.743176291462704697e-01,1.523182972360515031e-01,1.904336221914313398e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.599699627442209948e+00
3.350000000000000089e+00,1.093438552873105207e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.145461328141510915e-01,5.853209013362347113e-01,8.108017282042125906e-01,5.417433654535072662e+01,1.500364083359908007e-01,4.994265208439609971e-01,1.786547329627207747e-01,1.600124897727472906e-01,1.956078689092304534e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.636053709546811508e+00
3.400000000000000355e+00,1.095819329518011864e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.125591902452047099e-01,5.895540469515569981e-01,8.077289308444023375e-01,5.387463159575583660e+01,1.526470321033854272e-01,5.101421349006619588e-01,1.830046592141156281e-01,1.679213932314449487e-01,2.008200029453050206e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.672357242990163417e+00
3.450000000000000178e+00,1.098211355866868688e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.105715349397877079e-01,5.938597435010112280e-01,8.045685831853697234e-01,5.356861158203044937e+01,1.553182159139131491e-01,5.206766782353090539e-01,1.873656324904438564e-01,1.760435119877357124e-01,2.060681821549460668e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.708594797573990354e+00
